obs_date,vmt
Jan-00,"203,442"
Feb-00,"199,261"
Mar-00,"232,490"
Apr-00,"227,698"
May-00,"242,501"
Jun-00,"242,963"
Jul-00,"245,140"
Aug-00,"247,832"
Sep-00,"227,899"
Oct-00,"236,491"
Nov-00,"222,819"
Dec-00,"218,390"
Jan-01,"209,685"
Feb-01,"200,876"
Mar-01,"232,587"
Apr-01,"232,513"
May-01,"245,357"
Jun-01,"243,498"
Jul-01,"250,363"
Aug-01,"253,274"
Sep-01,"226,312"
Oct-01,"241,050"
Nov-01,"230,511"
Dec-01,"229,584"
Jan-02,"215,215"
Feb-02,"208,237"
Mar-02,"236,070"
Apr-02,"237,226"
May-02,"251,746"
Jun-02,"247,868"
Jul-02,"256,392"
Aug-02,"258,666"
Sep-02,"233,625"
Oct-02,"245,556"
Nov-02,"230,648"
Dec-02,"234,260"
Jan-03,"218,534"
Feb-03,"203,677"
Mar-03,"236,679"
Apr-03,"239,415"
May-03,"253,244"
Jun-03,"252,145"
Jul-03,"262,105"
Aug-03,"260,687"
Sep-03,"237,451"
Oct-03,"254,048"
Nov-03,"233,698"
Dec-03,"238,538"
Jan-04,"222,450"
Feb-04,"213,709"
Mar-04,"251,403"
Apr-04,"250,968"
May-04,"257,235"
Jun-04,"257,383"
Jul-04,"265,969"
Aug-04,"262,836"
Sep-04,"243,515"
Oct-04,"254,496"
Nov-04,"239,796"
Dec-04,"245,029"
Jan-05,"224,072"
Feb-05,"219,970"
Mar-05,"253,182"
Apr-05,"250,860"
May-05,"262,678"
Jun-05,"263,816"
Jul-05,"267,025"
Aug-05,"265,323"
Sep-05,"242,240"
Oct-05,"251,419"
Nov-05,"243,056"
Dec-05,"245,787"
Jan-06,"233,282"
Feb-06,"220,711"
Mar-06,"256,623"
Apr-06,"250,644"
May-06,"263,370"
Jun-06,"263,782"
Jul-06,"263,421"
Aug-06,"265,206"
Sep-06,"245,605"
Oct-06,"257,939"
Nov-06,"245,346"
Dec-06,"248,187"
Jan-07,"233,621"
Feb-07,"219,232"
Mar-07,"259,638"
Apr-07,"252,595"
May-07,"267,574"
Jun-07,"265,374"
Jul-07,"267,106"
Aug-07,"271,225"
Sep-07,"245,965"
Oct-07,"261,423"
Nov-07,"245,787"
Dec-07,"240,281"
Jan-08,"232,920"
Feb-08,"221,336"
Mar-08,"252,343"
Apr-08,"252,088"
May-08,"261,466"
Jun-08,"257,484"
Jul-08,"261,600"
Aug-08,"260,609"
Sep-08,"239,607"
Oct-08,"255,848"
Nov-08,"236,465"
Dec-08,"241,742"
Jan-09,"225,529"
Feb-09,"217,643"
Mar-09,"249,741"
Apr-09,"251,374"
May-09,"258,276"
Jun-09,"258,395"
Jul-09,"264,472"
Aug-09,"260,297"
Sep-09,"241,970"
Oct-09,"252,209"
Nov-09,"237,264"
Dec-09,"239,593"
Jan-10,"220,839"
Feb-10,"210,635"
Mar-10,"254,238"
Apr-10,"253,936"
May-10,"256,927"
Jun-10,"260,083"
Jul-10,"265,315"
Aug-10,"263,837"
Sep-10,"244,682"
Oct-10,"256,395"
Nov-10,"239,579"
Dec-10,"240,800"
Jan-11,"223,790"
Feb-11,"213,463"
Mar-11,"253,124"
Apr-11,"249,578"
May-11,"254,083"
Jun-11,"258,350"
Jul-11,"260,175"
Aug-11,"260,526"
Sep-11,"242,062"
Oct-11,"251,906"
Nov-11,"238,535"
Dec-11,"244,810"
Jan-12,"227,527"
Feb-12,"218,196"
Mar-12,"256,166"
Apr-12,"249,394"
May-12,"260,774"
Jun-12,"260,376"
Jul-12,"260,244"
Aug-12,"264,379"
Sep-12,"238,867"
Oct-12,"253,574"
Nov-12,"240,361"
Dec-12,"238,709"
Jan-13,"229,419"
Feb-13,"215,803"
Mar-13,"253,026"
Apr-13,"252,064"
May-13,"263,406"
Jun-13,"259,980"
Jul-13,"263,946"
Aug-13,"268,061"
Sep-13,"242,536"
Oct-13,"258,748"
Nov-13,"240,055"
Dec-13,"241,237"
Jan-14,"226,413"
Feb-14,"213,949"
Mar-14,"253,424"
Apr-14,"256,736"
May-14,"266,237"
Jun-14,"263,459"
Jul-14,"270,053"
Aug-14,"268,831"
Sep-14,"247,688"
Oct-14,"265,144"
Nov-14,"241,451"
Dec-14,"252,271"
Jan-15,"233,498"
Feb-15,"217,220"
Mar-15,"258,017"
Apr-15,"262,817"
May-15,"270,839"
