year,vmt,population,raw gas price,inflation adjusted gas price,miles driven per capita
1924,104838,114510978,0.21,3.74,916.0
1925,122346,116193761,0.22,3.83,1053.0
1926,140735,117901272,0.23,3.96,1194.0
1927,158453,119633876,0.21,3.68,1324.0
1928,172856,121391941,0.21,3.74,1424.0
1929,197720,122984173,0.21,3.74,1608.0
1930,206320,124406787,0.2,3.65,1658.0
1931,216151,125655935,0.17,3.41,1720.0
1932,200517,126727702,0.18,4.0,1582.0
1933,200642,127618106,0.18,4.22,1572.0
1934,215563,128514766,0.19,4.32,1677.0
1935,228568,129417726,0.19,4.23,1766.0
1936,252128,130327031,0.19,4.16,1935.0
1937,270110,131242724,0.2,4.23,2058.0
1938,271177,132164851,0.2,4.32,2052.0
1939,285402,133277715,0.19,4.16,2141.0
1940,302188,134585218,0.18,3.92,2245.0
1941,333612,136091324,0.19,3.94,2451.0
1942,268224,137800062,0.2,3.74,1946.0
1943,208192,139715524,0.21,3.7,1490.0
1944,212713,141657611,0.21,3.64,1502.0
1945,250173,143626694,0.21,3.55,1742.0
1946,340880,145623148,0.21,3.28,2341.0
1947,370894,147647353,0.23,3.14,2512.0
1948,397957,149699696,0.26,3.29,2658.0
1949,424461,151883603,0.27,3.46,2795.0
1950,458246,154202680,0.27,3.41,2972.0
1951,491093,156481323,0.27,3.16,3138.0
1952,513581,158794222,0.27,3.1,3234.0
1953,544433,161168315,0.29,3.31,3378.0
1954,561963,163636309,0.29,3.28,3434.0
1955,605646,166200024,0.29,3.3,3644.0
1956,631161,168824960,0.3,3.36,3739.0
1957,645004,171499226,0.31,3.36,3761.0
1958,664653,174215310,0.3,3.16,3815.0
1959,700480,177145764,0.31,3.25,3954.0
1960,718762,180274555,0.31,3.19,3987.0
1961,737421,183489485,0.31,3.16,4019.0
1962,766734,186724272,0.31,3.13,4106.0
1963,805249,189825226,0.3,2.99,4242.0
1964,846298,192819452,0.3,2.95,4389.0
1965,887812,195653774,0.31,3.0,4538.0
1966,925899,198265406,0.32,3.01,4670.0
1967,964005,200699911,0.33,3.01,4803.0
1968,1015869,203011019,0.34,2.98,5004.0
1969,1061791,205300033,0.35,2.91,5172.0
1970,1109724,207796339,0.36,2.83,5340.0
1971,1178811,210426432,0.36,2.71,5602.0
1972,1259786,212842573,0.36,2.62,5919.0
1973,1313110,215006551,0.39,2.68,6107.0
1974,1280544,217076476,0.53,3.28,5899.0
1975,1327664,219129301,0.57,3.23,6059.0
1976,1402380,221168758,0.59,3.16,6341.0
1977,1467027,223259419,0.62,3.12,6571.0
1978,1544704,225396096,0.63,2.94,6853.0
1979,1529133,227575084,0.86,3.61,6719.0
1980,1527295,229858655,1.19,4.4,6644.0
1981,1555308,232201617,1.31,4.39,6698.0
1982,1595010,234583152,1.22,3.85,6799.0
1983,1652788,236986365,1.16,3.55,6974.0
1984,1720269,239353967,1.13,3.31,7187.0
1985,1774826,241690443,1.12,3.17,7343.0
1986,1834872,243953807,0.86,2.39,7521.0
1987,1921204,246161291,0.9,2.41,7805.0
1988,2025962,248393235,0.9,2.32,8156.0
1989,2096487,250675053,1.0,2.46,8363.0
1990,2144362,253373387,1.15,2.68,8463.0
1991,2172050,256471422,1.14,2.55,8469.0
1992,2247151,259606019,1.13,2.45,8656.0
1993,2296378,262633231,1.11,2.34,8744.0
1994,2357588,265474810,1.11,2.28,8881.0
1995,2422823,268205795,1.15,2.3,9033.0
1996,2485846,270860696,1.23,2.39,9178.0
1997,2560375,273468013,1.23,2.34,9363.0
1998,2625367,276119333,1.06,1.98,9508.0
1999,2691336,278785484,1.17,2.14,9654.0
2000,2746926,281484131,1.51,2.67,9759.0
2001,2795610,284279639,1.46,2.51,9834.0
2002,2855509,287084338,1.36,2.3,9947.0
2003,2890221,289908100,1.59,2.63,9969.0
2004,2964789,292786253,1.88,3.03,10126.0
2005,2989428,295716664,2.3,3.59,10109.0
2006,3014116,298730209,2.59,3.91,10090.0
2007,3029821,301844226,2.8,4.11,10038.0
2008,2973508,304970333,3.27,4.63,9750.0
2009,2956763,308023454,2.35,3.34,9599.0
2010,2967266,311062790,2.79,3.9,9539.0
2011,2950402,314105078,3.53,4.78,9393.0
2012,2968567,317115355,3.64,4.83,9361.0
2013,2988281,320110759,3.53,4.62,9335.0
2014,3025656,323115377,3.37,4.34,9364.0
2015,3095372,326126497,2.45,3.15,9491.0
2016,3174407,329179427,2.25,2.86,9643.0
2017,3212346,332204660,2.528,3.14,9670.0
2018,3240325,335056497,2.813,3.41,9671.0
2019,3261771,337790067,2.691,3.21,9656.0
2020,2903621,339436159,2.258,2.66,8554.0
2021,3140088,340161441,3.1,3.49,9231.0
2022,3196191,341534046,4.059,4.23,9358.0
2023,3263358,343477335,3.635,3.64,9501.0
2024,2469982,345426571,3.452,3.45,7151.0
