year,population
1800,6000000
1801,6113782
1802,6229723
1803,6347862
1804,6468241
1805,6590903
1806,6715891
1807,6843249
1808,6973023
1809,7105258
1810,7302908
1811,7502686
1812,7728031
1813,7980135
1814,8240464
1815,8509285
1816,8786876
1817,9073523
1818,9369520
1819,9667277
1820,9966626
1821,10267384
1822,10569360
1823,10872345
1824,11184015
1825,11504621
1826,11834416
1827,12173666
1828,12522641
1829,12879737
1830,13245133
1831,13619015
1832,14001568
1833,14392986
1834,14795346
1835,15208954
1836,15634125
1837,16071181
1838,16520455
1839,16991513
1840,17485246
1841,18002579
1842,18544472
1843,19111919
1844,19696730
1845,20299435
1846,20920583
1847,21560737
1848,22220480
1849,22899875
1850,23599506
1851,24323767
1852,25069718
1853,25838009
1854,26629845
1855,27445947
1856,28287059
1857,29153946
1858,30047400
1859,30924933
1860,31785018
1861,32626056
1862,33446373
1863,34244218
1864,35061095
1865,35897457
1866,36753768
1867,37630506
1868,38528157
1869,39440674
1870,40368260
1871,41311120
1872,42269459
1873,43243483
1874,44239950
1875,45259378
1876,46302296
1877,47369245
1878,48460778
1879,49577993
1880,50721494
1881,51891898
1882,53089839
1883,54315964
1884,55570406
1885,56853818
1886,58166869
1887,59510244
1888,60884643
1889,62240290
1890,63575778
1891,64889649
1892,66180393
1893,67446444
1894,68736714
1895,70051665
1896,71391770
1897,72757509
1898,74149374
1899,75577715
1900,77043426
1901,78547423
1902,80090642
1903,81674041
1904,83288742
1905,84935363
1906,86614537
1907,88326905
1908,90073125
1909,91753707
1910,93365894
1911,94906853
1912,96373674
1913,97763367
1914,99173096
1915,100603151
1916,102053825
1917,103525414
1918,105002025
1919,106509031
1920,108047002
1921,109616519
1922,111218174
1923,112852567
1924,114510978
1925,116193761
1926,117901272
1927,119633876
1928,121391941
1929,122984173
1930,124406787
1931,125655935
1932,126727702
1933,127618106
1934,128514766
1935,129417726
1936,130327031
1937,131242724
1938,132164851
1939,133277715
1940,134585218
1941,136091324
1942,137800062
1943,139715524
1944,141657611
1945,143626694
1946,145623148
1947,147647353
1948,149699696
1949,151883603
1950,154202680
1951,156481323
1952,158794222
1953,161168315
1954,163636309
1955,166200024
1956,168824960
1957,171499226
1958,174215310
1959,177145764
1960,180274555
1961,183489485
1962,186724272
1963,189825226
1964,192819452
1965,195653774
1966,198265406
1967,200699911
1968,203011019
1969,205300033
1970,207796339
1971,210426432
1972,212842573
1973,215006551
1974,217076476
1975,219129301
1976,221168758
1977,223259419
1978,225396096
1979,227575084
1980,229858655
1981,232201617
1982,234583152
1983,236986365
1984,239353967
1985,241690443
1986,243953807
1987,246161291
1988,248393235
1989,250675053
1990,253373387
1991,256471422
1992,259606019
1993,262633231
1994,265474810
1995,268205795
1996,270860696
1997,273468013
1998,276119333
1999,278785484
2000,281484131
2001,284279639
2002,287084338
2003,289908100
2004,292786253
2005,295716664
2006,298730209
2007,301844226
2008,304970333
2009,308023454
2010,311062790
2011,314105078
2012,317115355
2013,320110759
2014,323115377
2015,326126497
2016,329179427
2017,332204660
2018,335056497
2019,337790067
2020,339436159
2021,340161441
2022,341534046
2023,343477335
